Timestamp, Client ID, Message Received
270, 0, $R268 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
270, 1, $R221 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
271, 0, $R269 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
271, 1, $R222 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
272, 0, $R270 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+215+175+1+0+0 $UPP+0+215+175+1+0+0
272, 1, $R223 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
273, 0, $R271 $UPP+0+230+175+1+0+0 $UPP+0+230+175+1+0+0 $UPP+0+245+175+1+0+0 $UPP+0+245+175+1+0+0
273, 1, $R224 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
274, 0, $R272 $UPP+0+260+175+1+0+0 $UPP+0+260+175+1+0+0
274, 1, $R225 $UPP+1+590+175+0+0+0
275, 0, $R273 $UPP+0+275+175+1+0+0 $UPP+0+275+175+1+0+0 $UPP+0+290+175+1+0+0 $UPP+0+290+175+1+0+0
275, 1, $R226 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
276, 0, $R274 $UPP+0+305+175+1+0+0 $UPP+0+305+175+1+0+0 $UPP+0+305+175+1+0+0 $UPP+0+305+175+1+0+0
276, 1, $R227 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
277, 0, $R275 $UPP+0+305+175+1+0+0 $UPP+0+305+175+1+0+0 $UPP+0+290+175+0+0+0 $UPP+0+290+175+0+0+0
277, 1, $R228 $UPP+1+590+175+0+0+0
278, 0, $R276 $UPP+0+275+175+0+0+0 $UPP+0+275+175+0+0+0 $UPP+0+260+175+0+0+0 $UPP+0+260+175+0+0+0
278, 1, $R229 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
279, 0, $R277 $UPP+0+245+175+0+0+0 $UPP+0+245+175+0+0+0 $UPP+0+260+175+1+0+0 $UPP+0+260+175+1+0+0
279, 1, $R230 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
280, 0, $R278 $UPP+0+275+175+1+0+0 $UPP+0+275+175+1+0+0
280, 1, $R231 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
281, 0, $R279 $UPP+0+290+175+1+0+0 $UPP+0+290+175+1+0+0 $UPP+0+305+175+1+0+0 $UPP+0+305+175+1+0+0
281, 1, $R232 $UPP+1+590+175+0+0+0
282, 0, $R280 $UPP+0+310+175+1+0+0 $UPP+0+310+175+1+0+0 $UPP+0+315+175+1+0+0 $UPP+0+315+175+1+0+0
